"DT_GERACAO","HH_GERACAO","ANO_ELEICAO","CD_TIPO_ELEICAO","NM_TIPO_ELEICAO","NR_TURNO","CD_ELEICAO","DS_ELEICAO","DT_ELEICAO","SG_UF","SG_UE","NM_UE","CD_CARGO","DS_CARGO","TP_AGREMIACAO","NR_PARTIDO","SG_PARTIDO","NM_PARTIDO","SQ_COLIGACAO","NM_COLIGACAO","DS_COMPOSICAO_COLIGACAO","CD_SITUACAO_LEGENDA","DS_SITUACAO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",35,"PMB","PARTIDO DA MULHER BRASILEIRA",240000138803,"#NULO#","PMB","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",30,"NOVO","PARTIDO NOVO",240000052576,"#NULO#","NOVO","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",11,"PP","PROGRESSISTAS",240000097203,"#NULO#","PP","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",12,"PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",240000116457,"#NULO#","PDT","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",90,"PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",240000077589,"VAMOS PRA FRENTE, VAMOS COM FÉ","PRTB / PROS / PTB / MDB / PSC / PSB","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",35,"PMB","PARTIDO DA MULHER BRASILEIRA",240000117064,"Joinville Acima De Todos","PMB / PATRIOTA","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",17,"PSL","PARTIDO SOCIAL LIBERAL",240000097245,"#NULO#","PSL","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",77,"SOLIDARIEDADE","SOLIDARIEDADE",240000070642,"JOINVILLE É O QUE NOS MOVE","CIDADANIA / SOLIDARIEDADE","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",13,"PT","PARTIDO DOS TRABALHADORES",240000070493,"JOINVILLE QUE CUIDA DE SUA GENTE","PT / PC do B","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",11,"PP","PROGRESSISTAS",240000138854,"JOINVILLE É AGORA","PSD / PL / PSDB / PP","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",14,"PTB","PARTIDO TRABALHISTA BRASILEIRO",240000077589,"VAMOS PRA FRENTE, VAMOS COM FÉ","PRTB / PROS / PTB / MDB / PSC / PSB","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",22,"PL","PARTIDO LIBERAL",240000138854,"JOINVILLE É AGORA","PSD / PL / PSDB / PP","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",19,"PODE","PODEMOS",240000116855,"ALIANÇA POR JOINVILLE","PODE / DEM","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",51,"PATRIOTA","PATRIOTA",240000117064,"Joinville Acima De Todos","PMB / PATRIOTA","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",45,"PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",240000138854,"JOINVILLE É AGORA","PSD / PL / PSDB / PP","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","PARTIDO ISOLADO",16,"PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO",240000060045,"#NULO#","PSTU","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",77,"SOLIDARIEDADE","SOLIDARIEDADE",240000077202,"#NULO#","SOLIDARIEDADE","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",27,"DC","DEMOCRACIA CRISTÃ",240000077167,"#NULO#","DC","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",19,"PODE","PODEMOS",240000116855,"ALIANÇA POR JOINVILLE","PODE / DEM","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",15,"MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",240000077588,"#NULO#","MDB","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",22,"PL","PARTIDO LIBERAL",240000077358,"#NULO#","PL","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",23,"CIDADANIA","CIDADANIA",240000117090,"#NULO#","CIDADANIA","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",45,"PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",240000138854,"JOINVILLE É AGORA","PSD / PL / PSDB / PP","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","PARTIDO ISOLADO",27,"DC","DEMOCRACIA CRISTÃ",240000060040,"#NULO#","DC","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",36,"PTC","PARTIDO TRABALHISTA CRISTÃO",240000144497,"#NULO#","PTC","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",19,"PODE","PODEMOS",240000116838,"#NULO#","PODE","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",90,"PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",240000124357,"#NULO#","PROS","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","PARTIDO ISOLADO",30,"NOVO","PARTIDO NOVO",240000059499,"#NULO#","NOVO","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",11,"PP","PROGRESSISTAS",240000138854,"JOINVILLE É AGORA","PSD / PL / PSDB / PP","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",15,"MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",240000077589,"VAMOS PRA FRENTE, VAMOS COM FÉ","PRTB / PROS / PTB / MDB / PSC / PSB","D","DEFERIDO"
